source,target,weight
C10orf72,FSTL1,0.921605164099266
DACT3,ACTA2,0.9246048062373872
RPL32,RPL15,0.9151960167553236
CCDC80,VGLL3,0.9104935297191568
FMNL1,ARHGAP30,0.917018037431505
JAM3,FSTL1,0.9003650107983956
TSPYL5,FBXL7,0.9189624039850424
PDCD1LG2,SLAMF8,0.9209297352161856
KANK2,TNS1,0.9006152245151436
FLI1,SHE,0.9104766838847504
SYNM,MYH11,0.9193062101513132
SULF1,CCDC80,0.9080107443471676
NCKAP1L,PIK3R5,0.9207970041846516
SIGLEC7,SIGLEC9,0.933287341676758
CSF1R,MS4A7,0.9025518906019376
LAPTM5,TYROBP,0.9532589607381527
FMNL1,WAS,0.931928235468418
GIMAP5,GIMAP4,0.9334793406148976
EFS,SCARF2,0.9101566677229692
SCARF2,MFRP,0.9127111977779592
EVI2A,LAPTM5,0.9219362770535484
HCLS1,LAPTM5,0.918026320804506
COL1A1,VCAN,0.9050708593695648
MSRB3,JAM3,0.9389352647860282
HLA-DPA1,HLA-DRA,0.9606532725449102
S1PR1,CXorf36,0.9094139750212998
ITGB2,IL10RA,0.909546544474136
DZIP1,EVC,0.930154480571748
ITGAX,LILRB3,0.9000587128409782
GPR116,TIE1,0.9068575803406052
HAVCR2,LILRB4,0.9444198442398422
LMOD1,KCNMB1,0.9336745595601891
GPC6,FBN1,0.9272972291709624
EVC,GPC6,0.9072690567871684
CD96,GPR171,0.9217610871642862
COL5A2,LOX,0.9100070920122468
CD163,SIRPB2,0.9129185559625153
COL1A1,FBN1,0.9033785199082957
CD53,MYO1F,0.9016451441648864
MAP1B,TNS1,0.9019964654082464
BTK,FLI1,0.9052369602316928
C1R,GUCY1A3,0.90167237401225
SIGLEC7,LAIR1,0.9423635225515088
SLA,ARHGAP30,0.9203997164833366
GGT5,C1R,0.9053049098021008
RAB31,FBN1,0.9357814164020108
C1S,GLI3,0.9004044975985749
LUM,OLFML1,0.9045382257385552
LRRC25,CD163,0.9244593638427044
ISLR,EFEMP2,0.907799684405894
IKZF1,CD53,0.9173398840263906
FBN1,ANTXR1,0.94545972819379
ISLR,LUM,0.9004769465154469
KLHL6,SIGLEC10,0.9021396174506824
